"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)"
"Andrémeyerite","Andremeyerite","BaFe^2+^_2_Si_2_O_7_","BaFe^2+^_2_(Si_2_O_7_)"
"Andreyivanovite","Andreyivanovite","FeCrP","FeCrP"
"Andrianovite","Andrianovite","Na_12_(K,Sr,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(O,H_2_O,OH)_5_","Na_12_(K,Sr,Ce)_3_Ca_6_Mn_3_Zr_3_Nb(Si_25_O_73_)(O,H_2_O,OH)_5_"
"Anduoite","Anduoite","RuAs_2_","RuAs_2_"
"Andychristyite","Andychristyite","Pb^2+^Cu^2+^Te^6+^O_5_(H_2_O)","PbCu^2+^Te^6+^O_5_(H_2_O)"
"Andyrobertsite","Andyrobertsite","KCd^2+^Cu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O","KCdCu_5_(AsO_4_)_4_[As(OH)_2_O_2_]·2H_2_O"
"Angarfite","Angarfite","NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O","NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O"
"Angastonite","Angastonite","CaMgAl_2_(PO_4_)_2_(OH)_4_·7H_2_O","CaMgAl_2_(PO_4_)_2_(OH)_4_·7H_2_O"
"Ángelaite","Angelaite","Cu_2_AgPbBiS_4_","Cu_2_AgPbBiS_4_"
"Angelellite","Angelellite","Fe^3+^_4_O_3_(As^5+^O_4_)_2_","Fe^3+^_4_O_3_(AsO_4_)_2_"
"Anglesite","Anglesite","Pb^2+^S^6+^O_4_","Pb(SO_4_)"
"Anhydrite","Anhydrite","CaS^6+^O_4_","Ca(SO_4_)"
"Anhydrokainite","Anhydrokainite","KMgS^6+^O_4_Cl","KMg(SO_4_)Cl"
"Anilite","Anilite","Cu_7_S_4_","Cu_7_S_4_"
"Aniyunwiyaite","Aniyunwiyaite","Ca_3_Mn^2+^Fe^2+^Al_4_(PO_4_)_6_(OH)_4_·12H_2_O","Ca_3_Mn^2+^Fe^2+^Al_4_(PO_4_)_6_(OH)_4_·12H_2_O"
"Ankerite","Ankerite","CaFe^2+^(CO_3_)_2_","Ca(Fe^2+^,Mg)(CO_3_)_2_"
"Ankinovichite","Ankinovichite","Ni^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O","NiAl_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O"
"Annabergite","Annabergite","Ni^2+^_3_(As^5+^O_4_)_2_·8H_2_O","Ni_3_(AsO_4_)_2_·8H_2_O"
"Annite","Annite","KFe^2+^_3_AlSi_3_O_10_(OH)_2_","KFe^2+^_3_(AlSi_3_O_10_)(OH)_2_"
"Annivite","Annivite","Cu^1+^_10_(Fe^2+^,Zn^2+^)_2_Bi^3+^_4_S^2-^_13_","Cu_6_[Cu_4_(Fe,Zn)_2_](Bi,Sb,As)_4_S_13_"
"Anorpiment","Anorpiment","As^3+^_2_S^2-^_3_","As_2_S_3_"
"Anorthite","Anorthite","CaAl_2_Si_2_O_8_","Ca(Al_2_Si_2_O_8_)"
"Anorthominasragrite","Anorthominasragrite","V^4+^O(SO_4_)·5H_2_O","V^4+^O(SO_4_)·5H_2_O"
"Ansermetite","Ansermetite","Mn^2+^V^5+^_2_O_6_·4H_2_O","Mn^2+^V^5+^_2_O_6_·4H_2_O"
"Antarcticite","Antarcticite","CaCl_2_·6H_2_O","CaCl_2_·6H_2_O"
"Anthoinite","Anthoinite","AlW^6+^O_3_(OH)_3_","AlWO_3_(OH)_3_"
"Anthonyite","Anthonyite","Cu^2+^(OH)_2_·3H_2_O","Cu(OH)_2_·3H_2_O"
"Anthophyllite","Anthophyllite","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_"
"Antigorite","Antigorite","Mg_3_Si_2_O_5_(OH)_4_","Mg_3_Si_2_O_5_(OH)_4_"
"Antimonselite","Antimonselite","Sb_2_Se_3_","Sb_2_Se_3_"
"Antimony","Antimony","Sb","Sb"
"Antipinite","Antipinite","KNa_3_Cu^2+^_2_((C_2_)^6+^O_4_)_4_","KNa_3_Cu_2_(C_2_O_4_)_4_"
"Antlerite","Antlerite","Cu^2+^_3_(S^6+^O_4_)(OH)_4_","Cu^2+^_3_(SO_4_)(OH)_4_"
"Antofagastaite","Antofagastaite","Na_2_Ca(S^6+^O_4_)_2_·1.5H_2_O","Na_2_Ca(SO_4_)_2_·1.5H_2_O"
"Anyuiite","Anyuiite","AuPb_2_","AuPb_2_"
"Anzaite-(Ce)","Anzaite-(Ce)","Ce^3+^_4_Fe^2+^Ti^4+^_6_O_18_(OH)_2_","Ce_4_Fe^2+^Ti_6_O_18_(OH)_2_"
"Apachite","Apachite","Cu^2+^_9_Si_10_O_29_·11H_2_O","Cu^2+^_9_Si_10_O_29_·11H_2_O"
"Apexite","Apexite","NaMg(P^5+^O_4_)·9H_2_O","NaMg(PO_4_)·9H_2_O"
"Aphthitalite","Aphthitalite","K_3_Na(SO_4_)_2_","K_3_Na(SO_4_)_2_"
"Apjohnite","Apjohnite","Mn^2+^Al_2_(SO_4_)_4_·22H_2_O","Mn^2+^Al_2_(SO_4_)_4_·22H_2_O"
"Aplowite","Aplowite","Co^2+^S^6+^O_4_·4H_2_O","Co(SO_4_)·4H_2_O"
"Apuanite","Apuanite","Fe^2+^Fe^3+^_4_Sb^3+^_4_O_12_S","(Fe^2+^Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_4_)O_12_S"
"Aqualite","Aqualite","(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr^4+^_3_Si_26_O_66_(OH)_9_Cl","(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr_3_Si_26_O_66_(OH)_9_Cl"
"Aradite","Aradite","BaCa_6_(SiO_4_)(V^5+^O_4_)(V^5+^O_4_)_2_F","BaCa_6_[(SiO_4_)(VO_4_)](VO_4_)_2_F"
"Aragonite","Aragonite","CaCO_3_","Ca(CO_3_)"
"Arakiite","Arakiite","Zn^2+^Mn^2+^_12_Fe^3+^_2_(As^3+^O_3_)(As^5+^O_4_)_2_(OH)_23_","ZnMn^2+^_12_Fe^3+^_2_(As^3+^O_3_)(As^5+^O_4_)_2_(OH)_23_"
"Aramayoite","Aramayoite","Ag_3_Sb_2_(Bi,Sb)S_6_","Ag_3_Sb_2_(Bi,Sb)S_6_"
"Arangasite","Arangasite","Al_2_(SO_4_)(PO_4_)F·9H_2_O","Al_2_(SO_4_)(PO_4_)F·9H_2_O"
"Arapovite","Arapovite","(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ (x~0.5)","(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ [x ≈ 0.5]"
"Aravaipaite","Aravaipaite","Pb_3_AlF_9_·H_2_O","Pb_3_AlF_9_·H_2_O"
"Aravaite","Aravaite","Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O","Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O"
"Arcanite","Arcanite","K_2_S^6+^O_4_","K_2_(SO_4_)"
"Archerite","Archerite","H_2_KPO_4_","H_2_K(PO_4_)"
"Arctite","Arctite","(Na_5_Ca)Ca_6_Ba(PO_4_)_6_F_3_","(Na_5_Ca)Ca_6_Ba(PO_4_)_6_F_3_"
"Arcubisite","Arcubisite","Ag_6_CuBiS_4_","Ag_6_CuBiS_4_"
"Ardaite","Ardaite","Pb_17_Sb_15_S_35_Cl_9_","Pb_17_Sb_15_S_35_Cl_9_"
"Ardealite","Ardealite","Ca_2_(PO_3_OH)(SO_4_)·4H_2_O","Ca_2_(PO_3_OH)(SO_4_)·4H_2_O"
"Ardennite-(As)","Ardennite-(As)","Mn^2+^_4_Al_4_(AlMg)(As^5+^O_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_","Mn^2+^_4_Al_4_(AlMg)(AsO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_"
"Ardennite-(V)","Ardennite-(V)","Mn^2+^_4_(AlMg)Al_4_(Si_5_V^5+^)O_22_(OH)_6_","Mn^2+^_4_Al_4_(AlMg)(VO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_"
"Arfvedsonite","Arfvedsonite","NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_","NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_"
"Argandite","Argandite","Mn^2+^_7_(V^5+^O_4_)_2_(OH)_8_","Mn_7_(VO_4_)_2_(OH)_8_"
"Argentobaumhauerite","Argentobaumhauerite","Ag_1.5_Pb_22_As_33.5_S_72_","Ag_1.5_Pb_22_As_33.5_S_72_"
"Argentodufrénoysite","Argentodufrenoysite","Ag_3_Pb_26_As_35_S_80_","Ag_3_Pb_26_As_35_S_80_"
"Argentojarosite","Argentojarosite","Ag^1+^Fe^3+^_3_(S^6+^O_4_)_2_(OH)_6_","AgFe^3+^_3_(SO_4_)_2_(OH)_6_"
"Argentoliveingite","Argentoliveingite","Ag_x_Pb_40-2x_As_48+x_S_112_  (3 < x < 4)","Ag_x_Pb_40-2x_As_48+x_S_112_ (3 < x < 4)"
"Argentopentlandite","Argentopentlandite","Ag(Fe,Ni)_8_S_8_","Ag(Fe,Ni)_8_S_8_"
"Argentopyrite","Argentopyrite","Ag^1+^Fe_2_S^2-^_3_","AgFe_2_S_3_"
"Argentotennantite","Argentotennantite","Ag^1+^_6_Cu^1+^_4_(Fe^2+^,Zn^2+^)_2_As^3+^_4_S^2-^_13_","Ag_6_[Cu_4_(Fe,Zn)_2_]As_4_S_13_"
"Argentotetrahedrite","Argentotetrahedrite","Ag^1+^_6_Cu^1+^_4_(Fe^2+^,Zn^2+^)_2_Sb^3+^_4_S^2-^_13_","Ag_6_Cu_4_(Fe,Zn)_2_Sb_4_S_13_"
"Argesite","Argesite","(N^3-^H_4_)_7_Bi^3+^_3_Cl_16_","(NH_4_)_7_Bi_3_Cl_16_"
"Argutite","Argutite","GeO_2_","GeO_2_"
"Argyrodite","Argyrodite","Ag_8_GeS_6_","Ag_8_GeS_6_"
"Arhbarite","Arhbarite","Cu^2+^_2_MgAs^5+^O_4_(OH)_3_","Cu_2_Mg(AsO_4_)(OH)_3_"
"Ariegilatite","Ariegilatite","BaCa_12_(SiO_4_)_4_(P^5+^O_4_)_2_F_2_O","BaCa_12_(SiO_4_)_4_(PO_4_)_2_F_2_O"
"Arisite-(Ce)","Arisite-(Ce)","NaCe_2_(CO_3_)_2_[(CO_3_)_1-x_F_2x_]F","NaCe_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F"
"Arisite-(La)","Arisite-(La)","NaLa_2_(CO_3_)_2_[(CO_3_)_1-x_F_2x_]F","NaLa_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F"
"Aristarainite","Aristarainite","Na_2_Mg[B_6_O_8_(OH)_4_]_2_·4H_2_O","Na_2_Mg[B_6_O_8_(OH)_4_]_2_·4H_2_O"
"Armalcolite","Armalcolite","(Mg,Fe^2+^)Ti^4+^_2_O_5_","(Mg,Fe^2+^)Ti_2_O_5_"
"Armangite","Armangite","Mn^2+^_26_As^3+^_18_O_50_(CO_3_)(OH)_4_","Mn^2+^_26_[As^3+^_6_(OH)_4_O_14_][As^3+^_6_O_18_]_2_(CO_3_)"
"Armbrusterite","Armbrusterite","Na_6_K_5_Mn^3+^Mn^2+^_14_[Si_9_O_22_]_4_(OH)_10_·4H_2_O","Na_6_K_5_Mn^3+^Mn^2+^_14_(Si_9_O_22_)_4_(OH)_10_·4H_2_O"
"Armellinoite-(Ce)","Armellinoite-(Ce)","Ca_4_Ce^4+^(As^5+^O_4_)_4_·H_2_O","Ca_4_Ce^4+^(AsO_4_)_4_·H_2_O"
"Armenite","Armenite","BaCa_2_(Al_6_Si_9_)O_30_·2H_2_O","BaCa_2_(Al_6_Si_9_)O_30_·2H_2_O"
"Armstrongite","Armstrongite","CaZr^4+^Si_6_O_15_·2H_2_O","CaZr(Si_6_O_15_)·2H_2_O"
"Arrojadite-(BaFe)","Arrojadite-(BaFe)","BaFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","BaFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","BaNa_3_(NaCa)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","BaNa_3_(NaCa)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Arrojadite-(KFe)","Arrojadite-(KFe)","(KNa)Fe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","(KNa)Fe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Arrojadite-(KNa)","Arrojadite-(KNa)","KNa_3_(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","KNa_3_(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","PbFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","PbFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","SrFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","SrFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Arsenatrotitanite","Arsenatrotitanite","NaTi^4+^(As^5+^O_4_)O","NaTi(AsO_4_)O"
"Arsenbrackebuschite","Arsenbrackebuschite","Pb^2+^_2_(Fe^3+^,Zn^2+^)(As^5+^O_4_)_2_(OH,H_2_O)","Pb_2_(Fe^3+^,Zn)(AsO_4_)_2_(OH,H_2_O)"
"Arsendescloizite","Arsendescloizite","Pb^2+^Zn^2+^As^5+^O_4_(OH)","PbZn(AsO_4_)(OH)"
"Arsenic","Arsenic","As","As"
"Arseniopleite","Arseniopleite","CaNaMn^2+^Mn^2+^_2_(As^5+^O_4_)_3_","(Ca,Na)NaMn^2+^(Mn^2+^,Mg,Fe^2+^)_2_(AsO_4_)_3_"
"Arseniosiderite","Arseniosiderite","Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_·3H_2_O","Ca_2_Fe^3+^_3_O_2_(AsO_4_)_3_·3H_2_O"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Pb^2+^_12_(As^3+^_3.2_Sb^3+^_2.8_)S^2-^_21_","Pb_12_(As_3.2_Sb_2.8_)_Σ6_S_21_"
"Arsenmedaite","Arsenmedaite","Mn^2+^_6_As^5+^Si_5_O_18_(OH)","Mn^2+^_6_As^5+^Si_5_O_18_(OH)"
"Arsenoclasite","Arsenoclasite","Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_","Mn^2+^_5_(AsO_4_)_2_(OH)_4_"
"Arsenocrandallite","Arsenocrandallite","CaAl_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_","CaAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","Ce^3+^Al_3_(As^5+^O_4_)_2_(OH)_6_","CeAl_3_(AsO_4_)_2_(OH)_6_"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","La^3+^Al_3_(As^5+^O_4_)_2_(OH)_6_","LaAl_3_(AsO_4_)_2_(OH)_6_"
"Arsenogorceixite","Arsenogorceixite","BaAl_3_As^5+^O_4_(As^5+^O_3_OH)(OH)_6_","BaAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_"
"Arsenogoyazite","Arsenogoyazite","SrAl_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_","SrAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_"
"Arsenohauchecornite","Arsenohauchecornite","Ni_18_Bi_3_AsS_16_","Ni_18_Bi_3_AsS_16_"
"Arsenohopeite","Arsenohopeite","Zn^2+^_3_(As^5+^O_4_)_2_·4H_2_O","Zn_3_(AsO_4_)_2_·4H_2_O"
"Arsenolamprite","Arsenolamprite","As","As"
"Arsenolite","Arsenolite","As^3+^_2_O_3_","As_2_O_3_"
"Arsenopalladinite","Arsenopalladinite","Pd_8_As_3_","Pd_8_As_3_"
"Arsenopyrite","Arsenopyrite","Fe^3+^(AsS)^3-^","FeAsS"
"Arsenovanmeersscheite","Arsenovanmeersscheite","U^6+^(U^6+^O_2_)_3_(As^5+^O_4_)_2_(OH)_6_·4H_2_O","U(UO_2_)_3_(AsO_4_)_2_(OH)_6_·4H_2_O"
"Arsenowagnerite","Arsenowagnerite","Mg_2_As^5+^O_4_F","Mg_2_(AsO_4_)F"
"Arsenquatrandorite","Arsenquatrandorite","Ag_17.6_Pb_12.8_Sb_38.1_As_11.5_S_96_","Ag_17.6_Pb_12.8_Sb_38.1_As_11.5_S_96_"
"Arsentsumebite","Arsentsumebite","Pb^2+^_2_Cu^2+^(As^5+^O_4_)(SO_4_)(OH)","Pb_2_Cu(AsO_4_)(SO_4_)(OH)"
"Arsenudinaite","Arsenudinaite","NaMg_4_(As^5+^O_4_)_3_","NaMg_4_(AsO_4_)_3_"
"Arsenuranospathite","Arsenuranospathite","Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F·20H_2_O","Al(UO_2_)_2_(AsO_4_)_2_F·20H_2_O"
"Arsenuranylite","Arsenuranylite","Ca(U^6+^O_2_)_4_(As^5+^O_4_)_2_(OH)_4_·6H_2_O","Ca(UO_2_)_4_(AsO_4_)_2_(OH)_4_·6H_2_O"
"Arsiccioite","Arsiccioite","Ag^1+^Hg^2+^_2_Tl^1+^As^3+^_2_S^2-^_6_","AgHg_2_TlAs_2_S_6_"
"Arsmirandite","Arsmirandite","Na_18_Cu^2+^_12_Fe^3+^O_8_(As^5+^O_4_)_8_Cl_5_","Na_18_Cu_12_Fe^3+^O_8_(AsO_4_)_8_Cl_5_"
"Arthurite","Arthurite","Cu^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·4H_2_O","CuFe^3+^_2_(AsO_4_)_2_(OH)_2_·4H_2_O"
"Artinite","Artinite","Mg_2_CO_3_(OH)_2_·3H_2_O","Mg_2_(CO_3_)(OH)_2_·3H_2_O"
"Artroeite","Artroeite","PbAlF_3_(OH)_2_","PbAlF_3_(OH)_2_"
"Artsmithite","Artsmithite","Hg^1+^_4_Al(PO_4_)_1.74_(OH)_1.78_","Hg^1+^_4_Al(PO_4_)_1.74_(OH)_1.78_"
"Arupite","Arupite","Ni^2+^_3_(P^5+^O_4_)_2_·8H_2_O","Ni_3_(PO_4_)_2_·8H_2_O"
"Arzrunite","Arzrunite","Pb^2+^_2_Cu^2+^_4_S^6+^O_4_(OH)_4_Cl_6_·2H_2_O","Pb_2_Cu_4_(SO_4_)(OH)_4_Cl_6_·2H_2_O"
"Asbecasite","Asbecasite","Ca_3_Ti^4+^As^3+^_6_Be_2_Si_2_O_20_","Ca_3_TiAs_6_Be_2_Si_2_O_20_"
"Asbolane","Asbolane","Mn^4+^(O,OH)_2_·(Co^3+^,Ni^2+^,Mg,Ca)_x_(OH)_2x_·nH_2_O","Mn^4+^(O,OH)_2_·(Co,Ni,Mg,Ca)_x_(OH)_2x_·nH_2_O"
"Aschamalmite","Aschamalmite","Pb_6-3x_Bi_2+x_S_9_","Pb_6-3x_Bi_2+x_S_9_"
"Ashburtonite","Ashburtonite","HPb^2+^_4_Cu^2+^_4_(Si_4_O_12_)(HCO_3_)_4_(OH)_4_Cl","HCu_4_Pb_4_Si_4_O_12_(HCO_3_)_4_(OH)_4_Cl"
"Ashcroftine-(Y)","Ashcroftine-(Y)","K_5_Na_5_Y_12_Si_28_O_70_(OH)_2_(CO_3_)_8_·8H_2_O","K_5_Na_5_Y_12_Si_28_O_70_(OH)_2_(CO_3_)_8_·8H_2_O"
"Ashoverite","Ashoverite","Zn^2+^(OH)_2_","Zn(OH)_2_"
"Asimowite","Asimowite","Fe^2+^_2_SiO_4_","Fe_2_SiO_4_"
"Asisite","Asisite","Pb_7_SiO_8_Cl_2_","Pb_7_SiO_8_Cl_2_"
"Åskagenite-(Nd)","Askagenite-(Nd)","Mn^2+^Nd(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O_2_","Mn^2+^Nd(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O_2_"
"Aspedamite","Aspedamite","[box]_12_(Fe^3+^,Fe^2+^)_3_Nb^5+^_4_[Th^4+^(Nb^5+^,Fe^3+^)_12_O_42_][(H_2_O),(OH)]_12_","[box]_12_(Fe^3+^,Fe^2+^)_3_Nb_4_[Th(Nb,Fe^3+^)_12_O_42_][(H_2_O),(OH)]_12_"
"Aspidolite","Aspidolite","NaMg_3_(Si_3_Al)O_10_(OH)_2_","NaMg_3_(Si_3_Al)O_10_(OH)_2_"
"Asselbornite","Asselbornite","Pb^2+^(U^6+^O_2_)_4_(Bi^3+^O)_3_(As^5+^O_4_)_2_(OH)_7_·4H_2_O","Pb(UO_2_)_4_(BiO)_3_(AsO_4_)_2_(OH)_7_·4H_2_O"
"Astrocyanite-(Ce)","Astrocyanite-(Ce)","Cu^2+^_2_Ce^3+^_2_(U^6+^O_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O","Cu_2_Ce_2_(UO_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O"
"Astrophyllite","Astrophyllite","K_2_NaFe^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F","K_2_NaFe^2+^_7_Ti_2_Si_8_O_26_(OH)_4_F"
"Atacamite","Atacamite","Cu^2+^_2_Cl(OH)_3_","Cu_2_Cl(OH)_3_"
"Atelestite","Atelestite","Bi^3+^_2_O(As^5+^O_4_)(OH)","Bi_2_O(AsO_4_)(OH)"
"Atelisite-(Y)","Atelisite-(Y)","Y_4_Si_3_O_8_(OH)_8_","Y_4_Si_3_O_8_(OH)_8_"
"Atencioite","Atencioite","Ca_2_Fe^2+^_3_Mg_2_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O","Ca_2_Fe^2+^_3_Mg_2_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O"
"Athabascaite","Athabascaite","Cu_5_Se_4_","Cu_5_Se_4_"
"Atheneite","Atheneite","Pd_2_(As_0.75_Hg_0.25_)","Pd_2_(As_0.75_Hg_0.25_)"
"Atlasovite","Atlasovite","Cu^2+^_6_Fe^3+^Bi^3+^O_4_(SO_4_)_5_·KCl","Cu^2+^_6_Fe^3+^Bi^3+^O_4_(SO_4_)_5_·KCl"
"Atokite","Atokite","Pd_3_Sn","Pd_3_Sn"
"Attakolite","Attakolite","CaMn^2+^Al_4_(HSiO_4_)(PO_4_)_3_(OH)_4_","CaMn^2+^Al_4_(HSiO_4_)(PO_4_)_3_(OH)_4_"
"Attikaite","Attikaite","Ca_3_Cu^2+^_2_Al_2_(As^5+^O_4_)_4_(OH)_4_·2H_2_O","Ca_3_Cu_2_Al_2_(AsO_4_)_4_(OH)_4_·2H_2_O"
"Aubertite","Aubertite","Cu^2+^Al(SO_4_)_2_Cl·14H_2_O","Cu^2+^Al(SO_4_)_2_Cl·14H_2_O"
"Augelite","Augelite","Al_2_PO_4_(OH)_3_","Al_2_(PO_4_)(OH)_3_"
"Augite","Augite","(Ca,Mg,Fe^2+^,Fe^3+^)_2_(Si,Al)_2_O_6_","(Ca,Mg,Fe)_2_Si_2_O_6_"
"Auriacusite","Auriacusite","Fe^3+^Cu^2+^(As^5+^O_4_)O","Fe^3+^Cu^2+^(AsO_4_)O"
"Aurichalcite","Aurichalcite","Zn^2+^_5_(CO_3_)_2_(OH)_6_","(Zn,Cu)_5_(CO_3_)_2_(OH)_6_"
"Auricupride","Auricupride","Cu_3_Au","Cu_3_Au"
"Aurihydrargyrumite","Aurihydrargyrumite","Au_6_Hg_5_","Au_6_Hg_5_"
"Aurivilliusite","Aurivilliusite","Hg^1+^Hg^2+^OI^1-^","Hg^1+^Hg^2+^OI"
"Aurorite","Aurorite","(Mn^2+^,Ag^1+^,Ca)Mn^4+^_3_O_7_·3H_2_O","(Mn^2+^,Ag,Ca)Mn^4+^_3_O_7_·3H_2_O"
"Aurostibite","Aurostibite","AuSb_2_","AuSb_2_"
"Austinite","Austinite","CaZn^2+^As^5+^O_4_(OH)","CaZn(AsO_4_)(OH)"
"Autunite","Autunite","Ca(UO_2_)_2_(PO_4_)_2_·10-12H_2_O","Ca(UO_2_)_2_(PO_4_)_2_·10-12H_2_O"
"Avdeevite","Avdeevite","(Na,Cs)(Be_2_Li)Al_2_(Si_6_O_18_)","(Na,Cs)(Be_2_Li)Al_2_(Si_6_O_18_)"
"Avdoninite","Avdoninite","K_2_Cu^2+^_5_Cl_8_(OH)_4_·2H_2_O","K_2_Cu_5_Cl_8_(OH)_4_·2H_2_O"
"Averievite","Averievite","Cu^2+^_5_O_2_(V^5+^O_4_)_2_·Cu^2+^Cl^1-^_2_","Cu_5_O_2_(VO_4_)_2_·CuCl_2_"
"Avicennite","Avicennite","Tl^3+^_2_O_3_","Tl_2_O_3_"
"Avogadrite","Avogadrite","KBF_4_","KBF_4_"
"Awaruite","Awaruite","Ni_3_Fe","Ni_3_Fe"
"Axelite","Axelite","Na_14_Cu^2+^_7_(As^5+^O_4_)_8_F_2_Cl_2_","Na_14_Cu_7_(AsO_4_)_8_F_2_Cl_2_"
"Axinite-(Fe)","Axinite-(Fe)","Ca_4_Fe^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca_4_Fe^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_"
"Axinite-(Mg)","Axinite-(Mg)","Ca_4_Mg_2_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca_4_Mg_2_Al_4_[B_2_Si_8_O_30_](OH)_2_"
"Axinite-(Mn)","Axinite-(Mn)","Ca_4_Mn^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca_4_Mn^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_"
"Azoproite","Azoproite","Mg_2_((Ti^4+^,Mg),Fe^3+^)O_2_BO_3_","Mg_2_[(Ti,Mg),Fe^3+^]O_2_(BO_3_)"
"Azurite","Azurite","Cu^2+^_3_(CO_3_)_2_(OH)_2_","Cu_3_(CO_3_)_2_(OH)_2_"
"Babánekite","Babanekite","Cu^2+^_3_(As^5+^O_4_)_2_·8H_2_O","Cu_3_(AsO_4_)_2_·8H_2_O"
"Babefphite","Babefphite","BaBePO_4_F","BaBe(PO_4_)F"
"Babingtonite","Babingtonite","Ca_2_Fe^2+^Fe^3+^Si_5_O_14_(OH)","Ca_2_Fe^2+^Fe^3+^Si_5_O_14_(OH)"
"Babkinite","Babkinite","Pb_2_Bi_2_S_3_","Pb_2_Bi_2_(S,Se)_3_"
"Backite","Backite","Pb^2+^_2_AlTe^6+^O_6_Cl^1-^","Pb_2_AlTeO_6_Cl"
"Badakhshanite-(Y)","Badakhshanite-(Y)","Y^3+^_2_Mn^2+^_4_Al(Si_2_B_7_BeO_24_)","Y_2_Mn_4_Al(Si_2_B_7_BeO_24_)"
